"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"1","MUN",2,1,8,6,3,1,1,13,2,408,4,11,2,0,0.46,"20180810","LEI",1,"MUNvLEI20180810","home",1,3,0.25,0.333333333333333,1,204,5.5,Inf,1,1,"MUN-1","LEI-1",3,1,2,7,13,6,0,0,2,NA,NA,NA,NA,NA,NA
"2","LEI",1,0,13,4,4,0,0,32,5,468,2,8,1,0,0.54,"20180810","MUN",2,"MUNvLEI20180810","away",0,0,0.0769230769230769,0.25,1,468,8,Inf,-1,1,"LEI-1","MUN-1",0,-1,1,13,7,-6,0,0,-Inf,NA,NA,NA,NA,NA,NA
"3","NEW",1,1,15,2,3,0,0,14,3,305,1,11,2,0,0.42,"20180811","TOT",2,"NEWvTOT20180811","home",0,0,0.0666666666666667,0.5,0,305,5.5,Inf,-1,1,"NEW-1","TOT-1",0,-1,1,14,8,-6,0,0,-Inf,NA,NA,NA,NA,NA,NA
"4","TOT",2,2,15,5,1,0,0,20,5,507,0,12,2,0,0.58,"20180811","NEW",1,"NEWvTOT20180811","away",1,3,0.133333333333333,0.4,0,253.5,6,Inf,1,1,"TOT-1","NEW-1",3,1,2,8,14,6,0,0,2,NA,NA,NA,NA,NA,NA
"5","WAT",2,2,19,5,0,0,0,27,8,339,0,10,2,0,0.55,"20180811","BHA",0,"WATvBHA20180811","home",1,3,0.105263157894737,0.4,0,169.5,5,Inf,2,1,"WAT-1","BHA-1",3,2,2,3,15,12,0,0,4,NA,NA,NA,NA,NA,NA
"6","BHA",0,0,6,0,3,0,0,15,2,323,3,16,2,0,0.45,"20180811","WAT",2,"WATvBHA20180811","away",0,0,0,NA,0,Inf,8,Inf,-2,1,"BHA-1","WAT-1",0,-2,0,15,3,-12,0,1,-Inf,NA,NA,NA,NA,NA,NA
"7","FUL",0,0,15,6,7,0,0,40,5,633,2,9,1,0,0.62,"20180811","CRY",2,"FULvCRY20180811","home",0,0,0,0,0,Inf,9,Inf,-2,1,"FUL-1","CRY-1",0,-2,0,16,4,-12,0,1,-Inf,NA,NA,NA,NA,NA,NA
"8","CRY",2,2,10,9,6,0,0,19,5,289,3,11,2,0,0.38,"20180811","FUL",0,"FULvCRY20180811","away",1,3,0.2,0.222222222222222,0,144.5,5.5,Inf,2,1,"CRY-1","FUL-1",3,2,2,4,16,12,0,0,4,NA,NA,NA,NA,NA,NA
"9","HUD",0,0,6,1,1,0,0,29,2,292,2,9,2,0,0.41,"20180811","CHE",3,"HUDvCHE20180811","home",0,0,0,0,0,Inf,4.5,Inf,-3,1,"HUD-1","CHE-1",0,-3,0,19,2,-17,0,1,-Inf,NA,NA,NA,NA,NA,NA
"10","CHE",3,2,13,4,1,1,1,11,5,605,1,8,1,0,0.59,"20180811","HUD",0,"HUDvCHE20180811","away",1,3,0.230769230769231,0.75,1,201.666666666667,8,Inf,3,1,"CHE-1","HUD-1",3,3,3,2,19,17,0,0,5.66666666666667,NA,NA,NA,NA,NA,NA
"11","BOU",2,2,12,4,1,0,1,25,7,413,0,11,1,0,0.61,"20180811","yCC",0,"BOUvyCC20180811","home",1,3,0.166666666666667,0.5,0,206.5,11,Inf,2,1,"BOU-1","yCC-1",3,2,2,5,17,12,0,0,4,NA,NA,NA,NA,NA,NA
"12","yCC",0,0,10,1,2,0,0,22,4,184,2,9,1,0,0.39,"20180811","BOU",2,"BOUvyCC20180811","away",0,0,0,0,0,Inf,9,Inf,-2,1,"yCC-1","BOU-1",0,-2,0,17,5,-12,0,1,-Inf,NA,NA,NA,NA,NA,NA
"13","WLV",2,1,11,4,3,0,0,25,3,479,2,8,0,0,0.57,"20180811","EVE",2,"WLVvEVE20180811","home",0,1,0.181818181818182,0.5,1,239.5,Inf,Inf,0,1,"WLV-1","EVE-1",1,0,2,9,10,1,1,0,1,NA,NA,NA,NA,NA,NA
"14","EVE",2,2,6,5,2,0,0,15,6,326,3,7,1,1,0.43,"20180811","WLV",2,"WLVvEVE20180811","away",0,1,0.333333333333333,0.4,0,163,7,7,0,1,"EVE-1","WLV-1",1,0,2,10,9,-1,1,0,-1,NA,NA,NA,NA,NA,NA
"15","LIV",4,3,18,8,2,0,0,33,5,628,5,14,1,0,0.61,"20180812","WHU",0,"LIVvWHU20180812","home",1,3,0.222222222222222,0.5,1,157,14,Inf,4,1,"LIV-1","WHU-1",3,4,4,1,20,19,0,0,6.33333333333333,NA,NA,NA,NA,NA,NA
"16","WHU",0,0,5,2,4,0,0,13,4,313,3,9,2,0,0.39,"20180812","LIV",4,"LIVvWHU20180812","away",0,0,0,0,0,Inf,4.5,Inf,-4,1,"WHU-1","LIV-1",0,-4,0,20,1,-19,0,1,-Inf,NA,NA,NA,NA,NA,NA
"17","SOU",0,0,18,3,6,0,0,28,8,312,2,10,0,0,0.51,"20180812","BUR",0,"SOUvBUR20180812","home",0,1,0,0,0,Inf,Inf,Inf,0,1,"SOU-1","BUR-1",1,0,0,11,12,1,1,0,1,NA,NA,NA,NA,NA,NA
"18","BUR",0,0,16,6,3,0,0,29,5,319,5,9,1,0,0.49,"20180812","SOU",0,"SOUvBUR20180812","away",0,1,0,0,0,Inf,9,Inf,0,1,"BUR-1","SOU-1",1,0,0,12,11,-1,1,0,-1,NA,NA,NA,NA,NA,NA
"19","ARS",0,0,9,3,6,0,0,16,2,344,7,11,2,0,0.44,"20180812","MCI",2,"ARSvMCI20180812","home",0,0,0,0,0,Inf,5.5,Inf,-2,1,"ARS-1","MCI-1",0,-2,0,18,6,-12,0,1,-Inf,NA,NA,NA,NA,NA,NA
"20","MCI",2,2,17,7,3,0,0,22,9,474,2,14,2,0,0.56,"20180812","ARS",0,"ARSvMCI20180812","away",1,3,0.117647058823529,0.285714285714286,0,237,7,Inf,2,1,"MCI-1","ARS-1",3,2,2,6,18,12,0,0,4,NA,NA,NA,NA,NA,NA
"21","yCC",0,0,13,1,6,0,0,26,5,223,2,14,2,0,0.52,"20180818","NEW",0,"yCCvNEW20180818","home",0,1,0,0,0,Inf,7,Inf,0,2,"yCC-2","NEW-2",1,-2,0,16,12,-4,0,0,-4,0,NA,NA,5,NA,NA
"22","NEW",0,0,12,6,0,0,1,17,5,210,0,16,2,1,0.48,"20180818","yCC",0,"yCCvNEW20180818","away",0,1,0,0,0,Inf,8,16,0,2,"NEW-2","yCC-2",1,-1,1,12,16,4,0,0,4,0,NA,NA,8,NA,NA
"23","EVE",2,2,13,7,3,0,0,22,2,332,2,8,0,0,0.56,"20180818","SOU",1,"EVEvSOU20180818","home",1,3,0.153846153846154,0.285714285714286,0,166,Inf,Inf,1,2,"EVE-2","SOU-2",4,1,4,7,13,6,0,0,2,1,NA,NA,9,NA,NA
"24","SOU",1,1,15,4,5,0,0,20,5,214,3,20,5,0,0.44,"20180818","EVE",2,"EVEvSOU20180818","away",0,0,0.0666666666666667,0.25,0,214,4,Inf,-1,2,"SOU-2","EVE-2",1,-1,1,13,7,-6,0,0,-Inf,1,NA,NA,12,NA,NA
"25","LEI",2,1,6,2,2,0,0,15,1,337,0,10,2,1,0.45,"20180818","WLV",0,"LEIvWLV20180818","home",1,3,0.333333333333333,1,1,168.5,5,10,2,2,"LEI-2","WLV-2",3,1,3,8,14,6,0,0,2,0,NA,NA,7,NA,NA
"26","WLV",0,0,11,3,1,0,0,36,9,438,1,8,1,0,0.55,"20180818","LEI",2,"LEIvWLV20180818","away",0,0,0,0,0,Inf,8,Inf,-2,2,"WLV-2","LEI-2",1,-2,2,14,8,-6,0,0,-Inf,1,NA,NA,10,NA,NA
"27","TOT",3,2,26,11,2,0,0,35,5,587,1,9,0,0,0.56,"20180818","FUL",1,"TOTvFUL20180818","home",1,3,0.115384615384615,0.272727272727273,1,195.666666666667,Inf,Inf,2,2,"TOT-2","FUL-2",6,3,5,5,18,13,0,0,4.33333333333333,3,NA,NA,14,NA,NA
"28","FUL",1,1,10,3,8,0,0,8,2,378,3,5,0,0,0.44,"20180818","TOT",3,"TOTvFUL20180818","away",0,0,0.1,0.333333333333333,0,378,Inf,Inf,-2,2,"FUL-2","TOT-2",0,-4,1,18,5,-13,0,1,-Inf,0,NA,NA,4,NA,NA
"29","WHU",1,0,11,5,3,1,1,26,6,424,1,14,6,0,0.59,"20180818","BOU",2,"WHUvBOU20180818","home",0,0,0.0909090909090909,0.2,1,424,2.33333333333333,Inf,-1,2,"WHU-2","BOU-2",0,-5,1,19,6,-13,0,1,-Inf,0,NA,NA,1,NA,NA
"30","BOU",2,1,12,5,4,0,0,18,4,259,0,10,2,0,0.41,"20180818","WHU",1,"WHUvBOU20180818","away",1,3,0.166666666666667,0.4,1,129.5,5,Inf,1,2,"BOU-2","WHU-2",6,3,4,6,19,13,0,0,4.33333333333333,3,NA,NA,17,NA,NA
"31","CHE",3,3,24,11,4,0,0,21,5,657,3,12,0,0,0.57,"20180818","ARS",2,"CHEvARS20180818","home",1,3,0.125,0.272727272727273,0,219,Inf,Inf,1,2,"CHE-2","ARS-2",6,4,6,3,17,14,0,0,4.66666666666667,3,NA,NA,19,NA,NA
"32","ARS",2,1,15,6,8,0,0,17,1,377,3,9,2,0,0.43,"20180818","CHE",3,"CHEvARS20180818","away",0,0,0.133333333333333,0.333333333333333,1,188.5,4.5,Inf,-1,2,"ARS-2","CHE-2",0,-3,2,17,3,-14,0,1,-Inf,0,NA,NA,6,NA,NA
"33","MCI",6,2,32,14,0,0,0,34,10,722,1,9,0,0,0.68,"20180819","HUD",1,"MCIvHUD20180819","home",1,3,0.1875,0.428571428571429,4,120.333333333333,Inf,Inf,5,2,"MCI-2","HUD-2",6,7,8,1,20,19,0,0,6.33333333333333,3,NA,NA,18,NA,NA
"34","HUD",1,1,5,1,8,0,0,14,3,139,1,4,2,0,0.32,"20180819","MCI",6,"MCIvHUD20180819","away",0,0,0.2,1,0,139,2,Inf,-5,2,"HUD-2","MCI-2",0,-8,1,20,1,-19,0,1,-Inf,0,NA,NA,2,NA,NA
"35","BUR",1,1,8,3,3,0,0,34,5,373,2,8,1,0,0.57,"20180819","WAT",3,"BURvWAT20180819","home",0,0,0.125,0.333333333333333,0,373,8,Inf,-2,2,"BUR-2","WAT-2",1,-2,1,15,4,-11,0,1,-Inf,1,NA,NA,11,NA,NA
"36","WAT",3,2,9,6,2,0,0,12,2,249,4,19,2,0,0.43,"20180819","BUR",1,"BURvWAT20180819","away",1,3,0.333333333333333,0.5,1,83,9.5,Inf,2,2,"WAT-2","BUR-2",6,4,5,4,15,11,0,0,3.66666666666667,3,NA,NA,15,NA,NA
"37","BHA",3,2,6,3,1,1,1,14,3,213,2,16,1,0,0.36,"20180819","MUN",2,"BHAvMUN20180819","home",1,3,0.5,1,1,71,16,Inf,1,2,"BHA-2","MUN-2",3,-1,3,11,9,-2,1,0,-0.666666666666667,0,NA,NA,3,NA,NA
"38","MUN",2,0,9,3,0,1,1,18,5,507,2,13,1,0,0.64,"20180819","BHA",3,"BHAvMUN20180819","away",0,0,0.222222222222222,0.666666666666667,2,253.5,13,Inf,-1,2,"MUN-2","BHA-2",3,0,4,9,11,2,1,0,Inf,3,NA,NA,13,NA,NA
"39","CRY",0,0,9,2,4,0,0,18,6,311,2,6,1,1,0.41,"20180820","LIV",2,"CRYvLIV20180820","home",0,0,0,0,0,Inf,6,6,-2,2,"CRY-2","LIV-2",3,0,2,10,2,-8,0,1,-Inf,3,NA,NA,16,NA,NA
"40","LIV",2,1,16,6,2,1,1,28,7,585,2,13,1,0,0.59,"20180820","CRY",0,"CRYvLIV20180820","away",1,3,0.125,0.333333333333333,1,292.5,13,Inf,2,2,"LIV-2","CRY-2",6,6,6,2,10,8,0,0,2.66666666666667,3,NA,NA,20,NA,NA
"41","WLV",1,1,11,2,5,0,0,16,5,195,4,12,1,0,0.34,"20180825","MCI",1,"WLVvMCI20180825","home",0,1,0.0909090909090909,0.5,0,195,12,Inf,0,3,"WLV-3","MCI-3",2,-2,3,14,5,-9,0,1,-9,0,1,NA,8,10,NA
"42","MCI",1,1,18,6,1,0,0,34,9,596,3,8,2,0,0.66,"20180825","WLV",1,"WLVvMCI20180825","away",0,1,0.0555555555555556,0.166666666666667,0,596,4,Inf,0,3,"MCI-3","WLV-3",7,7,9,5,14,9,0,0,9,3,3,NA,20,18,NA
"43","ARS",3,2,17,10,4,0,0,25,7,480,3,16,1,0,0.58,"20180825","WHU",1,"ARSvWHU20180825","home",1,3,0.176470588235294,0.3,1,160,16,Inf,2,3,"ARS-3","WHU-3",3,-1,5,9,20,11,0,0,3.66666666666667,0,0,NA,3,6,NA
"44","WHU",1,1,13,5,8,0,0,20,2,276,3,13,3,0,0.42,"20180825","ARS",3,"ARSvWHU20180825","away",0,0,0.0769230769230769,0.2,0,276,4.33333333333333,Inf,-2,3,"WHU-3","ARS-3",0,-7,2,20,9,-11,0,0,-Inf,0,0,NA,6,1,NA
"45","SOU",1,1,11,5,3,0,0,34,10,380,1,13,1,1,0.52,"20180825","LEI",2,"SOUvLEI20180825","home",0,0,0.0909090909090909,0.2,0,380,13,13,-1,3,"SOU-3","LEI-3",1,-2,2,16,7,-9,0,0,-Inf,0,1,NA,7,12,NA
"46","LEI",2,1,8,5,4,0,0,16,3,373,0,10,1,0,0.48,"20180825","SOU",1,"SOUvLEI20180825","away",1,3,0.25,0.4,1,186.5,10,Inf,1,3,"LEI-3","SOU-3",6,2,5,7,16,9,0,0,3,3,0,NA,14,7,NA
"47","HUD",0,0,5,1,4,0,0,27,7,315,1,8,0,1,0.57,"20180825","yCC",0,"HUDvyCC20180825","home",0,1,0,0,0,Inf,Inf,8,0,3,"HUD-3","yCC-3",1,-8,1,19,15,-4,0,0,-4,0,0,NA,1,2,NA
"48","yCC",0,0,14,4,1,0,0,23,7,222,1,10,1,0,0.43,"20180825","HUD",0,"HUDvyCC20180825","away",0,1,0,0,0,Inf,10,Inf,0,3,"yCC-3","HUD-3",2,-2,0,15,19,4,0,0,4,1,0,NA,12,5,NA
"49","BOU",2,0,17,5,1,1,1,27,6,331,5,12,0,1,0.5,"20180825","EVE",2,"BOUvEVE20180825","home",0,1,0.117647058823529,0.4,2,165.5,Inf,12,0,3,"BOU-3","EVE-3",7,3,6,6,8,2,1,0,2,3,3,NA,19,17,NA
"50","EVE",2,2,11,3,3,0,0,18,2,341,0,10,3,1,0.5,"20180825","BOU",2,"BOUvEVE20180825","away",0,1,0.181818181818182,0.666666666666667,0,170.5,3.33333333333333,10,0,3,"EVE-3","BOU-3",5,1,6,8,6,-2,1,1,-2,3,1,NA,13,9,NA
"51","LIV",1,1,22,8,2,0,0,32,8,680,1,8,1,0,0.69,"20180825","BHA",0,"LIVvBHA20180825","home",1,3,0.0454545454545455,0.125,0,680,8,Inf,1,3,"LIV-3","BHA-3",9,7,7,1,12,11,0,0,3.66666666666667,3,3,NA,10,20,NA
"52","BHA",0,0,6,2,6,0,0,12,5,255,3,14,1,0,0.31,"20180825","LIV",1,"LIVvBHA20180825","away",0,0,0,0,0,Inf,14,Inf,-1,3,"BHA-3","LIV-3",3,-2,3,12,1,-11,0,1,-Inf,3,0,NA,9,3,NA
"53","WAT",2,2,14,6,2,0,0,21,6,238,1,14,4,0,0.47,"20180826","CRY",1,"WATvCRY20180826","home",1,3,0.142857142857143,0.333333333333333,0,119,3.5,Inf,1,3,"WAT-3","CRY-3",9,5,7,4,10,6,0,0,2,3,3,NA,15,15,NA
"54","CRY",1,1,9,3,4,0,0,12,2,353,3,11,2,0,0.53,"20180826","WAT",2,"WATvCRY20180826","away",0,0,0.111111111111111,0.333333333333333,0,353,5.5,Inf,-1,3,"CRY-3","WAT-3",3,-1,3,10,4,-6,0,1,-Inf,0,3,NA,2,16,NA
"55","NEW",1,1,6,2,2,0,0,20,4,150,2,16,3,0,0.28,"20180826","CHE",2,"NEWvCHE20180826","home",0,0,0.166666666666667,0.5,0,150,5.33333333333333,Inf,-1,3,"NEW-3","CHE-3",1,-2,2,17,3,-14,0,1,-Inf,1,0,NA,16,8,NA
"56","CHE",2,0,15,3,1,1,1,27,5,838,2,8,1,0,0.72,"20180826","NEW",1,"NEWvCHE20180826","away",1,3,0.133333333333333,0.666666666666667,2,419,8,Inf,1,3,"CHE-3","NEW-3",9,5,8,3,17,14,0,0,4.66666666666667,3,3,NA,17,19,NA
"57","FUL",4,3,25,12,0,0,0,22,6,505,1,11,2,0,0.6,"20180826","BUR",2,"FULvBUR20180826","home",1,3,0.16,0.333333333333333,1,126.25,5.5,Inf,2,3,"FUL-3","BUR-3",3,-2,5,11,18,7,0,0,2.33333333333333,0,0,NA,5,4,NA
"58","BUR",2,1,12,2,8,0,0,31,4,236,5,8,1,0,0.4,"20180826","FUL",4,"FULvBUR20180826","away",0,0,0.166666666666667,1,1,118,8,Inf,-2,3,"BUR-3","FUL-3",1,-4,3,18,11,-7,0,0,-Inf,0,1,NA,4,11,NA
"59","MUN",0,0,23,5,2,0,0,30,5,392,2,10,2,0,0.56,"20180827","TOT",3,"MUNvTOT20180827","home",0,0,0,0,0,Inf,5,Inf,-3,3,"MUN-3","TOT-3",3,-3,4,13,2,-11,0,1,-Inf,0,3,NA,11,13,NA
"60","TOT",3,3,9,5,5,0,0,9,2,294,1,16,3,0,0.44,"20180827","MUN",0,"MUNvTOT20180827","away",1,3,0.333333333333333,0.6,0,98,5.33333333333333,Inf,3,3,"TOT-3","MUN-3",9,6,8,2,13,11,0,0,3.66666666666667,3,3,NA,18,14,NA
"61","LEI",1,1,12,5,2,0,0,19,4,431,3,9,3,0,0.5,"20180901","LIV",2,"LEIvLIV20180901","home",0,0,0.0833333333333333,0.2,0,431,3,Inf,-1,4,"LEI-4","LIV-4",6,1,6,8,1,-7,0,1,-Inf,3,3,0,16,14,7
"62","LIV",2,2,10,4,4,0,0,12,4,410,2,12,2,0,0.5,"20180901","LEI",1,"LEIvLIV20180901","away",1,3,0.2,0.5,0,205,6,Inf,1,4,"LIV-4","LEI-4",12,8,9,1,8,7,0,0,2.33333333333333,3,3,3,12,10,20
"63","CHE",2,2,24,6,1,0,0,30,7,625,2,9,2,0,0.68,"20180901","BOU",0,"CHEvBOU20180901","home",1,3,0.0833333333333333,0.333333333333333,0,312.5,4.5,Inf,2,4,"CHE-4","BOU-4",12,7,10,2,6,4,0,1,1.33333333333333,3,3,3,17,17,19
"64","BOU",0,0,8,1,4,0,0,25,6,190,1,6,2,0,0.32,"20180901","CHE",2,"CHEvBOU20180901","away",0,0,0,0,0,Inf,3,Inf,-2,4,"BOU-4","CHE-4",7,1,6,6,2,-4,0,1,-Inf,1,3,3,8,19,17
"65","EVE",1,1,11,1,5,0,0,22,4,400,1,13,3,0,0.54,"20180901","HUD",1,"EVEvHUD20180901","home",0,1,0.0909090909090909,1,0,400,4.33333333333333,Inf,0,4,"EVE-4","HUD-4",6,1,7,7,17,10,0,0,10,1,3,1,6,13,9
"66","HUD",1,0,9,6,0,0,0,24,3,258,0,14,3,0,0.46,"20180901","EVE",1,"EVEvHUD20180901","away",0,1,0.111111111111111,0.166666666666667,1,258,4.66666666666667,Inf,0,4,"HUD-4","EVE-4",2,-8,2,17,7,-10,0,0,-10,1,0,0,15,1,2
"67","WHU",0,0,13,3,5,0,0,22,4,384,1,9,2,0,0.46,"20180901","WLV",1,"WHUvWLV20180901","home",0,0,0,0,0,Inf,4.5,Inf,-1,4,"WHU-4","WLV-4",0,-8,2,20,11,-9,0,0,-Inf,0,0,0,9,6,1
"68","WLV",1,1,15,6,3,0,0,22,4,432,0,11,1,0,0.54,"20180901","WHU",0,"WHUvWLV20180901","away",1,3,0.0666666666666667,0.166666666666667,0,432,11,Inf,1,4,"WLV-4","WHU-4",5,-1,4,11,20,9,0,0,3,1,0,1,5,8,10
"69","CRY",0,0,20,6,4,0,0,36,7,359,0,11,1,0,0.49,"20180901","SOU",2,"CRYvSOU20180901","home",0,0,0,0,0,Inf,11,Inf,-2,4,"CRY-4","SOU-4",3,-3,3,15,12,-3,1,0,-Inf,0,0,3,4,2,16
"70","SOU",2,2,19,6,6,0,1,25,4,358,1,12,1,0,0.51,"20180901","CRY",0,"CRYvSOU20180901","away",1,3,0.105263157894737,0.333333333333333,0,179,12,Inf,2,4,"SOU-4","CRY-4",4,0,4,12,15,3,1,0,1,0,0,1,7,7,12
"71","BHA",2,1,15,5,3,1,2,31,7,314,2,12,3,0,0.43,"20180901","FUL",2,"BHAvFUL20180901","home",0,1,0.133333333333333,0.4,1,157,4,Inf,0,4,"BHA-4","FUL-4",4,-2,5,14,13,-1,1,0,-1,0,3,0,1,9,3
"72","FUL",2,1,10,5,3,0,0,13,1,484,4,14,3,0,0.57,"20180901","BHA",2,"BHAvFUL20180901","away",0,1,0.2,0.4,1,242,4.66666666666667,Inf,0,4,"FUL-4","BHA-4",4,-2,7,13,14,1,1,0,1,3,0,0,18,5,4
"73","MCI",2,2,23,7,1,0,0,27,4,722,2,5,0,0,0.72,"20180901","NEW",1,"MCIvNEW20180901","home",1,3,0.0869565217391304,0.285714285714286,0,361,Inf,Inf,1,4,"MCI-4","NEW-4",10,8,11,4,18,14,0,0,4.66666666666667,1,3,3,14,20,18
"74","NEW",1,1,3,2,5,0,0,5,0,141,1,13,0,0,0.28,"20180901","MCI",2,"MCIvNEW20180901","away",0,0,0.333333333333333,0.5,0,141,Inf,Inf,-1,4,"NEW-4","MCI-4",1,-3,3,18,4,-14,0,1,-Inf,0,1,0,3,16,8
"75","yCC",2,2,14,3,8,0,0,29,3,164,3,12,3,0,0.31,"20180902","ARS",3,"yCCvARS20180902","home",0,0,0.142857142857143,0.666666666666667,0,82,4,Inf,-1,4,"yCC-4","ARS-4",2,-3,2,16,9,-7,0,0,-Inf,1,1,0,19,12,5
"76","ARS",3,3,17,11,1,0,0,24,9,571,1,14,4,0,0.69,"20180902","yCC",2,"yCCvARS20180902","away",1,3,0.176470588235294,0.272727272727273,0,190.333333333333,3.5,Inf,1,4,"ARS-4","yCC-4",6,0,8,9,16,7,0,0,2.33333333333333,3,0,0,20,3,6
"77","WAT",2,2,7,3,2,0,0,17,3,196,2,9,2,0,0.4,"20180902","TOT",1,"WATvTOT20180902","home",1,3,0.285714285714286,0.666666666666667,0,98,4.5,Inf,1,4,"WAT-4","TOT-4",12,6,9,3,5,2,1,1,0.666666666666667,3,3,3,10,15,15
