"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"78","TOT",1,0,11,2,1,0,0,39,10,469,2,8,1,0,0.6,"20180902","WAT",2,"WATvTOT20180902","away",0,0,0.0909090909090909,0.5,1,469,8,Inf,-1,4,"TOT-4","WAT-4",9,5,9,5,3,-2,1,1,-Inf,3,3,3,13,18,14
"79","BUR",0,0,9,2,7,0,0,26,2,365,1,7,2,0,0.46,"20180902","MUN",2,"BURvMUN20180902","home",0,0,0,0,0,Inf,3.5,Inf,-2,4,"BUR-4","MUN-4",1,-6,3,19,10,-9,0,0,-Inf,0,0,1,11,4,11
"80","MUN",2,1,21,9,2,0,1,25,5,446,1,13,3,1,0.54,"20180902","BUR",0,"BURvMUN20180902","away",1,3,0.0952380952380952,0.222222222222222,1,223,4.33333333333333,13,2,4,"MUN-4","BUR-4",6,-1,6,10,19,9,0,0,3,0,0,3,2,11,13
"81","TOT",1,1,11,3,8,0,0,19,5,476,3,17,0,0,0.58,"20180915","LIV",2,"TOTvLIV20180915","home",0,0,0.0909090909090909,0.333333333333333,0,476,Inf,Inf,-1,5,"TOT-5","LIV-5",9,4,10,6,2,-4,0,1,-Inf,0,3,3,3,13,18
"82","LIV",2,0,17,10,2,0,0,15,4,294,2,16,0,0,0.42,"20180915","TOT",1,"TOTvLIV20180915","away",1,3,0.117647058823529,0.2,2,147,Inf,Inf,1,5,"LIV-5","TOT-5",15,9,11,2,6,4,0,1,1.33333333333333,3,3,3,8,12,10
"83","CHE",4,2,18,7,1,1,1,19,5,674,0,8,0,0,0.74,"20180915","yCC",1,"CHEvyCC20180915","home",1,3,0.222222222222222,0.571428571428571,2,168.5,Inf,Inf,3,5,"CHE-5","yCC-5",15,10,14,1,17,16,0,0,5.33333333333333,3,3,3,6,17,17
"84","yCC",1,1,6,2,3,0,0,14,4,126,0,10,0,0,0.26,"20180915","CHE",4,"CHEvyCC20180915","away",0,0,0.166666666666667,0.5,0,126,Inf,Inf,-3,5,"yCC-5","CHE-5",2,-6,3,17,1,-16,0,1,-Inf,0,1,1,9,19,12
"85","MCI",3,2,28,9,3,0,0,30,10,695,5,7,0,0,0.64,"20180915","FUL",0,"MCIvFUL20180915","home",1,3,0.107142857142857,0.333333333333333,1,231.666666666667,Inf,Inf,3,5,"MCI-5","FUL-5",13,11,14,3,15,12,0,0,4,3,1,3,18,14,20
"86","FUL",0,0,9,3,6,0,0,13,4,338,2,7,0,0,0.36,"20180915","MCI",3,"MCIvFUL20180915","away",0,0,0,0,0,Inf,Inf,Inf,-3,5,"FUL-5","MCI-5",4,-5,7,15,3,-12,0,1,-Inf,1,3,0,14,18,5
"87","NEW",1,1,4,2,0,0,0,30,10,235,3,13,0,0,0.37,"20180915","ARS",2,"NEWvARS20180915","home",0,0,0.25,0.5,0,235,Inf,Inf,-1,5,"NEW-5","ARS-5",1,-4,4,19,7,-12,0,0,-Inf,0,0,1,4,3,16
"88","ARS",2,0,12,2,1,0,0,19,4,522,1,11,0,0,0.63,"20180915","NEW",1,"NEWvARS20180915","away",1,3,0.166666666666667,1,2,261,Inf,Inf,1,5,"ARS-5","NEW-5",9,1,10,7,19,12,0,0,4,3,3,0,16,20,3
"89","HUD",0,0,15,2,1,0,0,32,5,434,5,11,1,0,0.6,"20180915","CRY",1,"HUDvCRY20180915","home",0,0,0,0,0,Inf,11,Inf,-1,5,"HUD-5","CRY-5",2,-9,2,18,12,-6,0,0,-Inf,1,1,0,7,15,1
"90","CRY",1,1,7,2,2,0,0,10,3,303,2,17,2,0,0.4,"20180915","HUD",0,"HUDvCRY20180915","away",1,3,0.142857142857143,0.5,0,303,8.5,Inf,1,5,"CRY-5","HUD-5",6,-2,4,12,18,6,0,0,2,0,0,0,12,4,2
"91","BOU",4,3,10,5,6,1,1,14,4,274,1,13,3,0,0.47,"20180915","LEI",2,"BOUvLEI20180915","home",1,3,0.4,0.8,1,68.5,4.33333333333333,Inf,2,5,"BOU-5","LEI-5",10,3,10,5,10,5,0,0,1.66666666666667,0,1,3,2,8,19
"92","LEI",2,1,14,8,1,1,1,31,6,334,3,15,2,1,0.53,"20180915","BOU",4,"BOUvLEI20180915","away",0,0,0.142857142857143,0.25,1,167,7.5,15,-2,5,"LEI-5","BOU-5",6,-1,8,10,5,-5,0,1,-Inf,0,3,3,1,16,14
"93","WAT",1,1,14,5,4,0,0,25,6,313,2,9,2,0,0.45,"20180915","MUN",2,"WATvMUN20180915","home",0,0,0.0714285714285714,0.2,0,313,4.5,Inf,-1,5,"WAT-5","MUN-5",12,5,10,4,8,4,0,0,Inf,3,3,3,5,10,15
"94","MUN",2,1,9,6,4,0,0,26,8,444,4,11,1,1,0.55,"20180915","WAT",1,"WATvMUN20180915","away",1,3,0.222222222222222,0.333333333333333,1,222,11,11,1,5,"MUN-5","WAT-5",9,0,8,8,4,-4,0,1,-1.33333333333333,3,0,0,19,2,11
"95","WLV",1,1,30,7,2,0,0,32,8,497,1,10,2,0,0.58,"20180916","BUR",0,"WLVvBUR20180916","home",1,3,0.0333333333333333,0.142857142857143,0,497,5,Inf,1,5,"WLV-5","BUR-5",8,0,5,9,20,11,0,0,3.66666666666667,3,1,0,20,5,8
"96","BUR",0,0,8,2,6,0,0,12,2,297,1,9,4,0,0.42,"20180916","WLV",1,"WLVvBUR20180916","away",0,0,0,0,0,Inf,2.25,Inf,-1,5,"BUR-5","WLV-5",1,-7,3,20,9,-11,0,0,-Inf,0,0,0,10,11,4
"97","EVE",1,1,16,4,1,0,0,25,4,393,3,15,2,0,0.54,"20180916","WHU",3,"EVEvWHU20180916","home",0,0,0.0625,0.25,0,393,7.5,Inf,-2,5,"EVE-5","WHU-5",6,-1,8,11,16,5,0,0,Inf,1,1,3,17,6,13
"98","WHU",3,3,9,4,3,0,0,8,2,302,0,12,5,0,0.46,"20180916","EVE",1,"EVEvWHU20180916","away",1,3,0.333333333333333,0.75,0,100.666666666667,2.4,Inf,2,5,"WHU-5","EVE-5",3,-6,5,16,11,-5,0,0,-1.66666666666667,0,0,0,11,9,6
"99","SOU",2,0,14,5,2,1,1,13,1,388,2,10,2,0,0.51,"20180917","BHA",2,"SOUvBHA20180917","home",0,1,0.142857142857143,0.4,2,194,5,Inf,0,5,"SOU-5","BHA-5",5,0,6,13,14,1,1,0,1,3,0,0,15,7,7
"100","BHA",2,1,12,4,2,1,1,18,4,354,2,13,3,0,0.49,"20180917","SOU",2,"SOUvBHA20180917","away",0,1,0.166666666666667,0.5,1,177,4.33333333333333,Inf,0,5,"BHA-5","SOU-5",5,-2,7,14,13,-1,1,0,-1,1,0,3,13,1,9
"101","FUL",1,1,15,3,5,0,0,30,8,424,5,11,2,0,0.59,"20180922","WAT",1,"FULvWAT20180922","home",0,1,0.0666666666666667,0.333333333333333,0,424,5.5,Inf,0,6,"FUL-6","WAT-6",5,-5,8,15,4,-11,0,1,-11,0,1,3,3,14,18
"102","WAT",1,1,11,6,2,0,0,32,8,230,6,9,1,0,0.41,"20180922","FUL",1,"FULvWAT20180922","away",0,1,0.0909090909090909,0.166666666666667,0,230,9,Inf,0,6,"WAT-6","FUL-6",13,5,11,4,15,11,0,0,11,0,3,3,8,5,10
"103","LEI",3,2,19,9,1,0,0,16,3,531,1,10,2,0,0.58,"20180922","HUD",1,"LEIvHUD20180922","home",1,3,0.157894736842105,0.333333333333333,1,177,5,Inf,2,6,"LEI-6","HUD-6",9,1,11,9,19,10,0,0,3.33333333333333,0,0,3,5,1,16
"104","HUD",1,1,9,2,5,0,0,21,1,280,0,16,1,0,0.42,"20180922","LEI",3,"LEIvHUD20180922","away",0,0,0.111111111111111,0.5,0,280,16,Inf,-2,6,"HUD-6","LEI-6",2,-11,3,19,9,-10,0,0,-Inf,0,1,1,12,7,15
"105","LIV",3,1,12,4,1,0,0,23,5,681,4,7,0,0,0.6,"20180922","SOU",0,"LIVvSOU20180922","home",1,3,0.25,0.75,2,227,Inf,Inf,3,6,"LIV-6","SOU-6",18,12,14,1,14,13,0,0,4.33333333333333,3,3,3,6,8,12
"106","SOU",0,0,7,1,1,0,0,17,4,413,1,10,2,0,0.4,"20180922","LIV",3,"LIVvSOU20180922","away",0,0,0,0,0,Inf,5,Inf,-3,6,"SOU-6","LIV-6",5,-3,6,14,1,-13,0,1,-Inf,1,3,0,14,15,7
"107","MUN",1,1,15,6,7,0,0,34,5,608,3,5,1,0,0.6,"20180922","WLV",1,"MUNvWLV20180922","home",0,1,0.0666666666666667,0.166666666666667,0,608,5,Inf,0,6,"MUN-6","WLV-6",10,0,9,7,10,3,1,0,3,3,3,0,4,19,2
"108","WLV",1,1,11,8,5,0,0,20,5,309,2,17,1,0,0.4,"20180922","MUN",1,"MUNvWLV20180922","away",0,1,0.0909090909090909,0.125,0,309,17,Inf,0,6,"WLV-6","MUN-6",9,0,6,10,7,-3,1,0,-3,3,3,1,20,20,5
"109","CRY",0,0,16,4,3,0,0,30,9,420,2,8,1,0,0.6,"20180922","NEW",0,"CRYvNEW20180922","home",0,1,0,0,0,Inf,8,Inf,0,6,"CRY-6","NEW-6",7,-2,4,11,18,7,0,0,7,3,0,0,18,12,4
"110","NEW",0,0,6,3,4,0,0,16,5,231,1,11,1,0,0.4,"20180922","CRY",0,"CRYvNEW20180922","away",0,1,0,0,0,Inf,11,Inf,0,6,"NEW-6","CRY-6",2,-4,4,18,11,-7,0,0,-7,0,0,0,7,4,3
"111","BUR",4,2,12,5,5,0,0,25,3,268,1,17,2,0,0.41,"20180922","BOU",0,"BURvBOU20180922","home",1,3,0.333333333333333,0.8,2,67,8.5,Inf,4,6,"BUR-6","BOU-6",4,-3,7,16,8,-8,0,0,-2.66666666666667,0,0,0,9,10,11
"112","BOU",0,0,19,5,1,0,0,34,8,507,2,6,0,0,0.59,"20180922","BUR",4,"BURvBOU20180922","away",0,0,0,0,0,Inf,Inf,Inf,-4,6,"BOU-6","BUR-6",10,-1,10,8,16,8,0,0,Inf,3,0,1,10,2,8
"113","yCC",0,0,2,2,5,0,0,8,1,162,2,6,1,0,0.26,"20180922","MCI",5,"yCCvMCI20180922","home",0,0,0,0,0,Inf,6,Inf,-5,6,"yCC-6","MCI-6",2,-11,3,20,2,-18,0,1,-Inf,0,0,1,1,9,19
"114","MCI",5,4,21,10,2,0,0,30,9,761,1,4,1,0,0.74,"20180922","yCC",0,"yCCvMCI20180922","away",1,3,0.238095238095238,0.5,1,152.2,4,Inf,5,6,"MCI-6","yCC-6",16,16,19,2,20,18,0,0,6,3,3,1,15,18,14
"115","BHA",1,1,8,4,5,0,0,19,5,207,2,15,2,0,0.34,"20180922","TOT",2,"BHAvTOT20180922","home",0,0,0.125,0.25,0,207,7.5,Inf,-1,6,"BHA-6","TOT-6",5,-3,8,13,5,-8,0,1,-Inf,1,1,0,13,13,1
"116","TOT",2,1,16,7,3,1,1,22,7,597,0,9,1,0,0.66,"20180922","BHA",1,"BHAvTOT20180922","away",1,3,0.125,0.285714285714286,1,298.5,9,Inf,1,6,"TOT-6","BHA-6",12,5,12,5,13,8,0,0,2.66666666666667,0,0,3,2,3,13
"117","WHU",0,0,6,1,6,0,0,13,1,251,2,11,2,0,0.37,"20180923","CHE",0,"WHUvCHE20180923","home",0,1,0,0,0,Inf,5.5,Inf,0,6,"WHU-6","CHE-6",4,-6,5,17,3,-14,0,1,-14,3,0,0,11,11,9
"118","CHE",0,0,17,6,1,0,0,35,8,691,3,9,1,0,0.63,"20180923","WHU",0,"WHUvCHE20180923","away",0,1,0,0,0,Inf,9,Inf,0,6,"CHE-6","WHU-6",16,10,14,3,17,14,0,0,14,3,3,3,17,6,17
"119","ARS",2,2,9,5,6,0,0,22,5,486,1,17,2,0,0.59,"20180923","EVE",0,"ARSvEVE20180923","home",1,3,0.222222222222222,0.4,0,243,8.5,Inf,2,6,"ARS-6","EVE-6",12,3,12,6,12,6,0,0,2,3,3,3,19,16,20
"120","EVE",0,0,9,6,3,0,0,31,9,276,2,12,1,0,0.41,"20180923","ARS",2,"ARSvEVE20180923","away",0,0,0,0,0,Inf,12,Inf,-2,6,"EVE-6","ARS-6",6,-3,8,12,6,-6,0,1,-Inf,0,1,1,16,17,6
"121","WHU",3,2,8,3,3,0,0,19,4,395,2,12,0,0,0.5,"20180929","MUN",1,"WHUvMUN20180929","home",1,3,0.375,1,1,131.666666666667,Inf,Inf,2,7,"WHU-7","MUN-7",7,-4,8,14,10,-4,0,0,-1.33333333333333,1,3,0,3,11,11
"122","MUN",1,1,9,4,1,0,0,43,9,427,4,12,1,0,0.5,"20180929","WHU",3,"WHUvMUN20180929","away",0,0,0.111111111111111,0.25,0,427,12,Inf,-2,7,"MUN-7","WHU-7",10,-2,10,10,14,4,0,0,Inf,1,3,3,10,4,19
"123","ARS",2,2,9,2,4,0,0,29,6,467,1,11,2,0,0.59,"20180929","WAT",0,"ARSvWAT20180929","home",1,3,0.222222222222222,1,0,233.5,5.5,Inf,2,7,"ARS-7","WAT-7",15,5,14,5,6,1,1,1,0.333333333333333,3,3,3,12,19,16
"124","WAT",0,0,13,4,1,0,0,33,6,237,3,17,2,0,0.41,"20180929","ARS",2,"ARSvWAT20180929","away",0,0,0,0,0,Inf,8.5,Inf,-2,7,"WAT-7","ARS-7",13,3,11,6,5,-1,1,1,-Inf,1,0,3,15,8,5
"125","EVE",3,2,19,6,0,0,0,34,12,355,6,13,0,0,0.52,"20180929","FUL",0,"EVEvFUL20180929","home",1,3,0.157894736842105,0.5,1,118.333333333333,Inf,Inf,3,7,"EVE-7","FUL-7",9,0,11,11,17,6,0,0,2,0,0,1,6,16,17
"126","FUL",0,0,6,0,3,0,0,10,1,343,0,13,3,0,0.48,"20180929","EVE",3,"EVEvFUL20180929","away",0,0,0,NA,0,Inf,4.33333333333333,Inf,-3,7,"FUL-7","EVE-7",5,-8,8,17,11,-6,0,0,-Inf,1,0,1,4,3,14
"127","MCI",2,2,28,8,1,0,0,37,10,814,0,4,0,0,0.73,"20180929","BHA",0,"MCIvBHA20180929","home",1,3,0.0714285714285714,0.25,0,407,Inf,Inf,2,7,"MCI-7","BHA-7",19,18,21,1,15,14,0,0,4.66666666666667,3,3,3,20,15,18
"128","BHA",0,0,4,1,6,0,0,8,3,161,2,10,3,0,0.27,"20180929","MCI",2,"MCIvBHA20180929","away",0,0,0,0,0,Inf,3.33333333333333,Inf,-2,7,"BHA-7","MCI-7",5,-5,8,15,1,-14,0,1,-Inf,0,1,1,5,13,13
"129","NEW",0,0,6,1,3,0,0,16,5,285,1,11,0,0,0.42,"20180929","LEI",2,"NEWvLEI20180929","home",0,0,0,0,0,Inf,Inf,Inf,-2,7,"NEW-7","LEI-7",2,-6,4,18,8,-10,0,0,-Inf,1,0,0,11,7,4
"130","LEI",2,1,12,5,1,1,1,23,9,443,0,5,0,0,0.58,"20180929","NEW",0,"NEWvLEI20180929","away",1,3,0.166666666666667,0.4,1,221.5,Inf,Inf,2,7,"LEI-7","NEW-7",12,3,13,8,18,10,0,0,3.33333333333333,3,0,0,19,5,1
"131","WLV",2,2,14,6,6,0,0,19,8,378,0,11,3,0,0.51,"20180929","SOU",0,"WLVvSOU20180929","home",1,3,0.142857142857143,0.333333333333333,0,189,3.66666666666667,Inf,2,7,"WLV-7","SOU-7",12,2,8,9,16,7,0,0,2.33333333333333,1,3,3,7,20,20
"132","SOU",0,0,17,6,4,0,0,19,6,393,2,7,1,0,0.49,"20180929","WLV",2,"WLVvSOU20180929","away",0,0,0,0,0,Inf,7,Inf,-2,7,"SOU-7","WLV-7",5,-5,6,16,9,-7,0,0,-Inf,0,1,3,1,14,15
"133","HUD",0,0,9,5,4,0,0,34,3,321,1,17,2,0,0.51,"20180929","TOT",2,"HUDvTOT20180929","home",0,0,0,0,0,Inf,8.5,Inf,-2,7,"HUD-7","TOT-7",2,-13,3,20,4,-16,0,1,-Inf,0,0,1,9,12,7
"134","TOT",2,1,10,6,5,1,1,9,0,298,1,16,2,0,0.49,"20180929","HUD",0,"HUDvTOT20180929","away",1,3,0.2,0.333333333333333,1,149,8,Inf,2,7,"TOT-7","HUD-7",15,7,14,4,20,16,0,0,5.33333333333333,3,0,0,13,2,3
"135","CHE",1,1,10,4,3,0,0,13,4,475,2,8,0,0,0.46,"20180929","LIV",1,"CHEvLIV20180929","home",0,1,0.1,0.25,0,475,Inf,Inf,0,7,"CHE-7","LIV-7",17,10,15,3,2,-1,1,1,-1,1,3,3,17,17,6
"136","LIV",1,1,13,6,3,0,0,22,4,553,2,8,2,0,0.54,"20180929","CHE",1,"CHEvLIV20180929","away",0,1,0.0769230769230769,0.166666666666667,0,553,4,Inf,0,7,"LIV-7","CHE-7",19,12,15,2,3,1,1,1,1,3,3,3,14,6,8
"137","yCC",1,1,18,5,0,0,0,46,10,212,2,11,1,0,0.51,"20180930","BUR",2,"yCCvBUR20180930","home",0,0,0.0555555555555556,0.2,0,212,11,Inf,-1,7,"yCC-7","BUR-7",2,-12,4,19,12,-7,0,0,-Inf,0,0,0,2,1,9
"138","BUR",2,2,3,2,3,0,0,11,2,195,1,15,3,0,0.49,"20180930","yCC",1,"yCCvBUR20180930","away",1,3,0.666666666666667,1,0,97.5,5,Inf,1,7,"BUR-7","yCC-7",7,-2,9,12,19,7,0,0,2.33333333333333,3,0,0,8,9,10
"139","BOU",2,1,11,5,1,1,1,17,3,365,2,9,3,0,0.47,"20181001","CRY",1,"BOUvCRY20181001","home",1,3,0.181818181818182,0.4,1,182.5,3,Inf,1,7,"BOU-7","CRY-7",13,0,12,7,13,6,0,0,2,0,3,0,16,10,2
"140","CRY",1,1,10,2,3,0,0,20,3,470,2,12,4,0,0.53,"20181001","BOU",2,"BOUvCRY20181001","away",0,0,0.1,0.5,0,470,3,Inf,-1,7,"CRY-7","BOU-7",7,-3,5,13,7,-6,0,0,-Inf,1,3,0,18,18,12
"141","BHA",1,1,9,4,4,0,0,16,2,210,5,12,3,0,0.39,"20181005","WHU",0,"BHAvWHU20181005","home",1,3,0.111111111111111,0.25,0,210,4,Inf,1,8,"BHA-8","WHU-8",8,-4,9,13,15,2,1,0,0.666666666666667,0,0,1,1,5,13
"142","WHU",0,0,17,4,3,0,0,27,9,450,1,8,2,0,0.61,"20181005","BHA",1,"BHAvWHU20181005","away",0,0,0,0,0,Inf,4,Inf,-1,8,"WHU-8","BHA-8",7,-5,8,15,13,-2,1,0,-Inf,3,1,3,10,3,11
"143","LEI",1,1,8,2,6,0,0,14,2,376,5,10,2,1,0.53,"20181006","EVE",2,"LEIvEVE20181006","home",0,0,0.125,0.5,0,376,5,10,-1,8,"LEI-8","EVE-8",12,2,14,10,11,1,1,0,Inf,3,3,0,18,19,5
"144","EVE",2,1,17,8,1,0,0,30,10,334,0,11,1,0,0.47,"20181006","LEI",1,"LEIvEVE20181006","away",1,3,0.117647058823529,0.25,1,167,11,Inf,1,8,"EVE-8","LEI-8",12,1,13,11,10,-1,1,0,-0.333333333333333,3,0,0,17,6,16
"145","TOT",1,0,19,7,5,0,0,30,6,637,0,7,3,0,0.7,"20181006","yCC",0,"TOTvyCC20181006","home",1,3,0.0526315789473684,0.142857142857143,1,637,2.33333333333333,Inf,1,8,"TOT-8","yCC-8",18,8,15,5,20,15,0,0,5,3,3,0,20,13,2
"146","yCC",0,0,8,6,5,0,0,10,2,148,3,11,1,1,0.3,"20181006","TOT",1,"TOTvyCC20181006","away",0,0,0,0,0,Inf,11,11,-1,8,"yCC-8","TOT-8",2,-13,4,20,5,-15,0,1,-Inf,0,0,0,12,2,1
"147","CRY",0,0,12,5,1,0,0,25,6,556,1,11,3,0,0.65,"20181006","WLV",1,"CRYvWLV20181006","home",0,0,0,0,0,Inf,3.66666666666667,Inf,-1,8,"CRY-8","WLV-8",7,-4,5,14,7,-7,0,0,-Inf,0,1,3,7,18,18
"148","WLV",1,1,7,2,5,0,0,11,3,233,1,13,4,0,0.35,"20181006","CRY",0,"CRYvWLV20181006","away",1,3,0.142857142857143,0.5,0,233,3.25,Inf,1,8,"WLV-8","CRY-8",15,3,9,7,14,7,0,0,2.33333333333333,3,1,3,16,7,20
"149","WAT",0,0,14,2,3,0,0,32,10,292,1,11,3,1,0.5,"20181006","BOU",4,"WATvBOU20181006","home",0,0,0,0,0,Inf,3.66666666666667,11,-4,8,"WAT-8","BOU-8",13,-1,11,9,6,-3,1,1,-Inf,0,1,0,5,15,8
"150","BOU",4,2,10,7,2,1,1,17,7,372,2,9,1,0,0.5,"20181006","WAT",0,"WATvBOU20181006","away",1,3,0.4,0.571428571428571,2,93,9,Inf,4,8,"BOU-8","WAT-8",16,4,16,6,9,3,1,0,1,3,0,3,13,16,10
"151","BUR",1,1,6,3,1,0,0,15,1,195,3,8,2,0,0.34,"20181006","HUD",1,"BURvHUD20181006","home",0,1,0.166666666666667,0.333333333333333,0,195,4,Inf,0,8,"BUR-8","HUD-8",8,-2,10,12,18,6,0,0,6,3,3,0,19,8,9
"152","HUD",1,1,19,2,2,0,0,47,10,500,0,11,2,0,0.66,"20181006","BUR",1,"BURvHUD20181006","away",0,1,0.0526315789473684,0.5,0,500,5.5,Inf,0,8,"HUD-8","BUR-8",3,-13,4,18,12,-6,0,0,-6,0,0,0,4,9,12
"153","MUN",3,2,18,10,6,0,0,52,10,535,1,16,2,0,0.64,"20181006","NEW",2,"MUNvNEW20181006","home",1,3,0.166666666666667,0.3,1,178.333333333333,8,Inf,1,8,"MUN-8","NEW-8",13,-1,13,8,19,11,0,0,3.66666666666667,0,1,3,14,10,4
"154","NEW",2,2,13,8,7,0,0,20,6,159,0,8,2,0,0.36,"20181006","MUN",3,"MUNvNEW20181006","away",0,0,0.153846153846154,0.25,0,79.5,4,Inf,-1,8,"NEW-8","MUN-8",2,-7,6,19,8,-11,0,0,-Inf,0,1,0,8,11,7
"155","FUL",1,1,21,4,2,0,0,19,4,409,4,11,2,0,0.49,"20181007","ARS",5,"FULvARS20181007","home",0,0,0.0476190476190476,0.25,0,409,5.5,Inf,-4,8,"FUL-8","ARS-8",5,-12,9,17,4,-13,0,1,-Inf,0,1,0,11,4,3
"156","ARS",5,5,9,7,3,0,0,18,2,436,1,12,0,0,0.51,"20181007","FUL",1,"FULvARS20181007","away",1,3,0.555555555555556,0.714285714285714,0,87.2,Inf,Inf,4,8,"ARS-8","FUL-8",18,9,19,4,17,13,0,0,4.33333333333333,3,3,3,6,12,19
"157","SOU",0,0,15,6,3,0,0,14,4,306,0,13,6,0,0.4,"20181007","CHE",3,"SOUvCHE20181007","home",0,0,0,0,0,Inf,2.16666666666667,Inf,-3,8,"SOU-8","CHE-8",5,-8,6,16,2,-14,0,1,-Inf,0,0,1,9,1,14
"158","CHE",3,3,21,6,6,0,0,31,12,586,0,11,0,0,0.6,"20181007","SOU",0,"SOUvCHE20181007","away",1,3,0.142857142857143,0.5,0,195.333333333333,Inf,Inf,3,8,"CHE-8","SOU-8",20,13,18,2,16,14,0,0,4.66666666666667,1,1,3,2,17,17
